time_s,joint,position,velocity,effort
1762773237.677422,joint_a7,-0.7372931205997597,0.07540399688778546,0.0
1762773237.6830506,joint_a1,0.45884123983350167,-0.11794982452545157,0.0
1762773237.6830506,joint_a2,1.4172013416745126,-0.08085708158373778,0.0
1762773237.6830506,joint_a3,0.8942874329784116,-0.02224402769277051,0.0
1762773237.6830506,joint_a4,1.9506121681525335,0.013530442620829497,0.0
1762773237.6830506,joint_a5,2.467967714373836,-0.043729437190378584,0.0
1762773237.6830506,joint_a6,1.0344658576538666,-0.14645984335382387,0.0
1762773237.6830506,joint_a7,-0.7368827720486963,0.07540399688778546,0.0
1762773237.6864429,joint_a1,0.45843526644527033,-0.11794982452545157,0.0
1762773237.6864429,joint_a2,1.4169230383916962,-0.08085708158373778,0.0
1762773237.6864429,joint_a3,0.8942108709035914,-0.02224402769277051,0.0
1762773237.6864429,joint_a4,1.9506587387994772,0.013530442620829497,0.0
1762773237.6864429,joint_a5,2.467817201324299,-0.043729437190378584,0.0
1762773237.6864429,joint_a6,1.0339617551756695,-0.14645984335382387,0.0
1762773237.6864429,joint_a7,-0.7366232378253443,0.07540399688778546,0.0
1762773237.6909897,joint_a1,0.4579098834854852,-0.11794982452545157,0.0
1762773237.6909897,joint_a2,1.4165628773400545,-0.08085708158373778,0.0
1762773237.6909897,joint_a3,0.8941117895089917,-0.02224402769277051,0.0
1762773237.6909897,joint_a4,1.9507190073417995,0.013530442620829497,0.0
1762773237.6909897,joint_a5,2.4676224176420574,-0.043729437190378584,0.0
1762773237.6909897,joint_a6,1.0333093802670972,-0.14645984335382387,0.0
1762773237.6909897,joint_a7,-0.7362873664052391,0.07540399688778546,0.0
1762773237.6956072,joint_a1,0.457361539705159,-0.1204920543498565,0.0
1762773237.6956072,joint_a2,1.416186976163769,-0.08159217650594877,0.0
1762773237.6956072,joint_a3,0.8940083779584972,-0.02138185312262655,0.0
1762773237.6956072,joint_a4,1.950781909801265,0.01058228915737401,0.0
1762773237.6956072,joint_a5,2.4674191213251957,-0.043812423167965395,0.0
1762773237.6956072,joint_a6,1.0326284946066586,-0.1462091820366401,0.0
1762773237.6956072,joint_a7,-0.7359368163906757,0.07551293914809978,0.0
1762773237.7004697,joint_a1,0.4567647977453251,-0.1204920543498565,0.0
1762773237.7004697,joint_a2,1.415782887482752,-0.08159217650594877,0.0
1762773237.7004697,joint_a3,0.8939024834328696,-0.02138185312262655,0.0
1762773237.7004697,joint_a4,1.950834319032773,0.01058228915737401,0.0
1762773237.7004697,joint_a5,2.4672021384593346,-0.043812423167965395,0.0
1762773237.7004697,joint_a6,1.0319043874918365,-0.1462091820366401,0.0
1762773237.7004697,joint_a7,-0.7355628353880013,0.07551293914809978,0.0
1762773237.7077656,joint_a1,0.4559736921009843,-0.1204920543498565,0.0
1762773237.7077656,joint_a2,1.4152471838488803,-0.08159217650594877,0.0
1762773237.7077656,joint_a3,0.8937620982034613,-0.02138185312262655,0.0
1762773237.7077656,joint_a4,1.950903798375022,0.01058228915737401,0.0
1762773237.7077656,joint_a5,2.4669144825184723,-0.043812423167965395,0.0
1762773237.7077656,joint_a6,1.0309444328310273,-0.1462091820366401,0.0
1762773237.7077656,joint_a7,-0.7350670457469071,0.07551293914809978,0.0
1762773237.7084205,joint_a1,0.45579118182232414,-0.1204920543498565,0.0
1762773237.7084205,joint_a2,1.4151235955263892,-0.08159217650594877,0.0
1762773237.7084205,joint_a3,0.8937297109394816,-0.02138185312262655,0.0
1762773237.7084205,joint_a4,1.9509198274530668,0.01058228915737401,0.0
1762773237.7084205,joint_a5,2.4668481194906002,-0.043812423167965395,0.0
1762773237.7084205,joint_a6,1.030722968613323,-0.1462091820366401,0.0
1762773237.7084205,joint_a7,-0.734952665693876,0.07551293914809978,0.0
1762773237.7132225,joint_a1,0.45522772073183804,-0.1204920543498565,0.0
1762773237.7132225,joint_a2,1.4147420432572604,-0.08159217650594877,0.0
1762773237.7132225,joint_a3,0.8936297222527413,-0.02138185312262655,0.0
1762773237.7132225,joint_a4,1.9509693137716513,0.01058228915737401,0.0
1762773237.7132225,joint_a5,2.4666432379665175,-0.043812423167965395,0.0
1762773237.7132225,joint_a6,1.0300392456442529,-0.1462091820366401,0.0
1762773237.7132225,joint_a7,-0.7345995419690978,0.07551293914809978,0.0
1762773237.7184923,joint_a1,0.4545994500981106,-0.1204920543498565,0.0
1762773237.7184923,joint_a2,1.4143166046777857,-0.08159217650594877,0.0
1762773237.7184923,joint_a3,0.8935182328231345,-0.02138185312262655,0.0
1762773237.7184923,joint_a4,1.9510244920284339,0.01058228915737401,0.0
1762773237.7184923,joint_a5,2.466414790879136,-0.043812423167965395,0.0
1762773237.7184923,joint_a6,1.029276880557604,-0.1462091820366401,0.0
1762773237.7184923,joint_a7,-0.7342058017976882,0.07551293914809978,0.0
1762773237.7219253,joint_a1,0.4541829793130908,-0.1204920543498565,0.0
1762773237.7219253,joint_a2,1.4140345880918437,-0.08159217650594877,0.0
1762773237.7219253,joint_a3,0.89344432822251,-0.02138185312262655,0.0
1762773237.7219253,joint_a4,1.9510610688325762,0.01058228915737401,0.0
1762773237.7219253,joint_a5,2.466263356874887,-0.043812423167965395,0.0
1762773237.7219253,joint_a6,1.0287715206552566,-0.1462091820366401,0.0
1762773237.7219253,joint_a7,-0.7339447975910968,0.07551293914809978,0.0
1762773237.726899,joint_a1,0.45357878696806025,-0.1204920543498565,0.0
1762773237.726899,joint_a2,1.4136254543217766,-0.08159217650594877,0.0
1762773237.726899,joint_a3,0.8933371115927582,-0.02138185312262655,0.0
1762773237.726899,joint_a4,1.9511141323987697,0.01058228915737401,0.0
1762773237.726899,joint_a5,2.466043664955464,-0.043812423167965395,0.0
1762773237.726899,joint_a6,1.0280383729880815,-0.1462091820366401,0.0
1762773237.726899,joint_a7,-0.733566147396856,0.07551293914809978,0.0
1762773237.7315536,joint_a1,0.45300936670204217,-0.1204920543498565,0.0
1762773237.7315536,joint_a2,1.4132398667483743,-0.08159217650594877,0.0
1762773237.7315536,joint_a3,0.8932360654237079,-0.02138185312262655,0.0
1762773237.7315536,joint_a4,1.9511641420856292,0.01058228915737401,0.0
1762773237.7315536,joint_a5,2.4658366166003685,-0.043812423167965395,0.0
1762773237.7315536,joint_a6,1.0273474189514955,-0.1462091820366401,0.0
1762773237.7315536,joint_a7,-0.7332092890286463,0.07551293914809978,0.0
1762773237.7359345,joint_a1,0.4525296777123428,-0.1204920543498565,0.0
1762773237.7359345,joint_a2,1.4129150414399614,-0.08159217650594877,0.0
1762773237.7359345,joint_a3,0.8931509424703511,-0.02138185312262655,0.0
1762773237.7359345,joint_a4,1.951206271067677,0.01058228915737401,0.0
1762773237.7359345,joint_a5,2.4656621956634934,-0.043812423167965395,0.0
1762773237.7359345,joint_a6,1.0267653479162364,-0.1462091820366401,0.0
1762773237.7359345,joint_a7,-0.7329086656748108,0.07551293914809978,0.0
1762773237.7425785,joint_a1,0.4517602105130904,-0.1204920543498565,0.0
1762773237.7425785,joint_a2,1.4123939904555152,-0.08159217650594877,0.0
1762773237.7425785,joint_a3,0.893014397079654,-0.02138185312262655,0.0
1762773237.7425785,joint_a4,1.9512738500001099,0.01058228915737401,0.0
1762773237.7425785,joint_a5,2.4653824077328332,-0.043812423167965395,0.0
1762773237.7425785,joint_a6,1.025831650085174,-0.1462091820366401,0.0
1762773237.7425785,joint_a7,-0.7324264369493806,0.07551293914809978,0.0
1762773237.7439618,joint_a1,0.4515086882898093,-0.1204920543498565,0.0
1762773237.7439618,joint_a2,1.4122236701323383,-0.08159217650594877,0.0
1762773237.7439618,joint_a3,0.8929697633379166,-0.02138185312262655,0.0
1762773237.7439618,joint_a4,1.951295940094852,0.01058228915737401,0.0
1762773237.7439618,joint_a5,2.4652909510957794,-0.043812423167965395,0.0
1762773237.7439618,joint_a6,1.0255264444122492,-0.1462091820366401,0.0
1762773237.7439618,joint_a7,-0.7322688067849394,0.07551293914809978,0.0
1762773237.7487388,joint_a1,0.4509457644733935,-0.1204920543498565,0.0
1762773237.7487388,joint_a2,1.4118424816827246,-0.08159217650594877,0.0
1762773237.7487388,joint_a3,0.8928698699928593,-0.02138185312262655,0.0
1762773237.7487388,joint_a4,1.951345379227009,0.01058228915737401,0.0
1762773237.7487388,joint_a5,2.4650862649312915,-0.043812423167965395,0.0
1762773237.7487388,joint_a6,1.0248433733899218,-0.1462091820366401,0.0
1762773237.7487388,joint_a7,-0.7319160197723569,0.07551293914809978,0.0
1762773237.753056,joint_a1,0.4504227235269676,-0.1204920543498565,0.0
1762773237.753056,joint_a2,1.4114883002435343,-0.08159217650594877,0.0
1762773237.753056,joint_a3,0.8927770540411857,-0.02138185312262655,0.0
1762773237.753056,joint_a4,1.951391315621455,0.01058228915737401,0.0
1762773237.753056,joint_a5,2.464896080678872,-0.043812423167965395,0.0
1762773237.753056,joint_a6,1.0242086976068485,-0.1462091820366401,0.0
1762773237.753056,joint_a7,-0.7315882275426324,0.07551293914809978,0.0
